時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	13660	1844	130	392	17	1391	244	237	145
89年 1月	1167	154	5	45	2	104	19	13	24
89年 2月	1083	125	8	60	1	82	17	19	13
89年 3月	1163	140	9	52	0	105	22	14	9
89年 4月	1165	135	3	20	3	94	14	15	9
89年 5月	1139	199	16	38	0	117	19	20	27
89年 6月	1042	109	12	19	0	104	16	19	13
89年 7月	1075	137	14	29	2	129	21	18	8
89年 8月	1210	182	12	28	3	135	33	11	5
89年 9月	1243	189	16	34	2	153	18	23	10
89年 10月	1279	136	13	24	1	151	16	38	9
89年 11月	1104	172	11	21	2	120	23	26	6
89年 12月	990	166	11	22	1	97	26	21	12
90年	16133	3219	108	206	10	1322	266	149	81
90年 1月	1191	148	14	23	2	99	14	13	8
90年 2月	1026	147	8	21	1	97	10	12	8
90年 3月	1241	173	7	22	2	115	15	11	5
90年 4月	1452	240	11	27	1	121	11	15	5
90年 5月	1429	254	15	26	1	148	25	16	7
90年 6月	1436	273	12	12	0	97	15	5	6
90年 7月	1335	283	6	12	0	98	7	10	6
90年 8月	1576	369	11	15	0	105	28	18	7
90年 9月	1329	337	4	14	0	106	22	18	5
90年 10月	1420	368	6	12	0	93	35	11	7
90年 11月	1343	313	7	7	1	125	57	7	7
90年 12月	1355	314	7	15	2	118	27	13	10
91年	19374	4273	99	248	13	1198	513	176	132
91年 1月	1337	380	4	11	1	97	38	13	7
91年 2月	1986	374	17	25	0	79	27	12	12
91年 3月	1346	285	5	23	0	118	54	20	12
91年 4月	1582	372	11	20	2	103	44	23	12
91年 5月	1711	283	10	18	0	105	52	20	10
91年 6月	1502	263	3	23	2	97	37	14	5
91年 7月	1863	321	15	21	2	90	33	17	14
91年 8月	1704	343	11	21	1	108	25	7	8
91年 9月	1265	406	8	29	1	101	63	8	7
91年 10月	2089	447	3	17	1	105	55	16	18
91年 11月	1625	423	7	17	1	86	33	14	17
91年 12月	1364	376	5	23	2	109	52	12	10
92年	18507	4605	118	302	26	1128	837	117	135
92年 1月	1446	500	11	30	2	92	91	10	10
92年 2月	1368	394	11	55	0	80	33	10	8
92年 3月	1701	382	13	35	0	84	60	7	12
92年 4月	1470	337	9	32	3	106	44	14	15
92年 5月	1555	403	9	25	3	115	51	10	9
92年 6月	2026	525	10	17	4	105	49	11	19
92年 7月	1447	439	8	23	2	102	92	9	8
92年 8月	1645	422	17	19	0	81	57	9	5
92年 9月	1582	328	10	16	2	112	59	11	15
92年 10月	1493	265	10	17	0	82	57	9	15
92年 11月	1429	321	5	17	6	87	97	7	9
92年 12月	1345	289	5	16	4	82	147	10	10
93年	18075	3637	90	236	8	979	1737	115	137
93年 1月	1414	317	6	14	2	69	171	6	10
93年 2月	1524	357	10	26	1	58	137	8	14
93年 3月	1429	394	7	45	0	83	186	10	8
93年 4月	1975	379	8	20	0	80	224	12	7
93年 5月	1579	307	3	14	0	84	166	6	18
93年 6月	1363	248	6	16	1	93	120	6	14
93年 7月	1419	261	5	16	1	75	106	14	11
93年 8月	1425	260	3	11	2	77	87	10	9
93年 9月	1412	282	7	14	0	95	120	9	14
93年 10月	1586	285	5	17	0	100	127	11	15
93年 11月	1509	284	7	25	1	92	133	9	11
93年 12月	1440	263	23	18	0	73	160	14	6
94年	19178	3836	74	239	14	1165	2705	174	155
94年 1月	1414	293	4	16	0	57	140	4	8
94年 2月	1209	201	4	31	2	52	109	7	10
94年 3月	1459	305	4	20	0	90	184	10	9
94年 4月	1566	280	9	29	0	91	239	13	12
94年 5月	2214	305	14	17	3	106	541	12	27
94年 6月	1438	292	7	18	2	118	219	14	13
94年 7月	1486	328	4	22	2	82	225	22	9
94年 8月	1752	351	2	25	0	104	284	15	13
94年 9月	1819	389	3	7	3	105	198	16	14
94年 10月	1746	413	7	20	1	119	225	19	15
94年 11月	1718	297	6	17	0	123	154	22	13
94年 12月	1357	382	10	17	1	118	187	20	12
95年	16168	2816	117	415	6	1250	3226	266	161
95年 1月	1589	323	3	16	0	65	388	17	12
95年 2月	1381	356	9	63	0	66	364	10	11
95年 3月	1184	266	14	126	1	121	167	23	16
95年 4月	1280	281	11	47	2	93	188	27	12
95年 5月	1225	209	8	27	1	118	325	30	9
95年 6月	1118	191	8	20	0	125	220	31	23
95年 7月	1201	158	8	24	0	109	211	21	18
95年 8月	1525	215	16	34	0	107	342	25	11
95年 9月	1806	171	6	12	0	112	442	20	16
95年 10月	1301	201	23	11	0	124	155	23	10
95年 11月	1368	276	5	20	2	123	156	26	14
95年 12月	1190	169	6	15	0	87	268	13	9
96年	16302	2819	85	404	9	1146	4710	316	149
96年 1月	1260	235	3	32	0	112	270	24	11
96年 2月	1349	186	6	67	0	64	242	9	18
96年 3月	1470	222	9	91	2	111	517	25	8
96年 4月	1203	223	7	32	1	103	455	32	10
96年 5月	1338	244	11	28	0	99	241	25	12
96年 6月	1268	223	7	19	0	90	440	24	10
96年 7月	1385	265	6	29	1	95	279	33	15
96年 8月	1301	275	9	31	0	104	267	32	13
96年 9月	1302	231	5	22	1	89	369	29	15
96年 10月	1675	248	8	13	1	96	550	26	10
96年 11月	1383	263	8	24	2	105	286	32	11
96年 12月	1368	204	6	16	1	78	794	25	16
97年	15317	2534	73	376	1	1217	4192	321	145
97年 1月	1388	278	6	28	0	79	323	20	17
97年 2月	1411	214	9	95	0	64	203	21	19
97年 3月	1280	270	4	63	0	97	265	36	13
97年 4月	1314	281	3	31	0	102	383	29	11
97年 5月	1383	270	8	30	0	88	351	26	10
97年 6月	1448	212	11	23	0	98	663	26	9
97年 7月	1615	299	5	16	1	113	328	23	6
97年 8月	1275	164	14	25	0	104	363	26	18
97年 9月	1127	162	4	15	0	122	308	37	12
97年 10月	1097	145	5	15	0	116	339	25	13
97年 11月	1017	114	2	13	0	109	294	19	9
97年 12月	962	125	2	22	0	125	372	33	8
98年	12921	2070	61	364	9	1247	3913	338	136
98年 1月	1329	186	7	42	0	65	186	22	11
98年 2月	1343	188	15	118	1	95	215	34	14
98年 3月	923	159	1	22	3	131	330	23	12
98年 4月	957	85	0	23	2	105	241	28	9
98年 5月	996	129	2	25	0	103	348	17	15
98年 6月	1034	174	5	21	0	120	564	37	17
98年 7月	986	172	7	14	0	94	287	24	9
98年 8月	1067	255	2	12	0	89	304	18	8
98年 9月	1139	206	9	21	2	129	285	22	15
98年 10月	1080	187	3	24	0	113	355	38	11
98年 11月	1089	184	7	18	0	104	325	29	9
98年 12月	978	145	3	24	1	99	473	46	6
99年	13463	1749	100	429	4	1433	2383	431	116
99年 1月	730	83	3	24	0	88	179	28	5
99年 2月	2292	189	11	185	0	65	187	27	11
99年 3月	1089	143	6	54	0	140	206	37	16
99年 4月	971	132	14	16	0	106	229	32	5
99年 5月	1150	131	1	23	1	133	213	38	6
99年 6月	1086	124	7	19	1	140	225	45	11
99年 7月	1084	111	10	22	0	116	183	44	9
99年 8月	1055	153	5	30	1	130	244	35	15
99年 9月	1120	166	12	18	0	117	191	41	9
99年 10月	1134	197	11	17	0	146	237	41	13
99年 11月	1120	181	14	13	1	132	175	32	13
99年 12月	632	139	6	8	0	120	114	31	3
100年	11536	1904	137	372	4	1775	2122	528	130
100年 1月	1450	247	23	84	0	151	183	46	15
100年 2月	1372	176	28	131	0	105	239	17	8
100年 3月	934	190	7	30	0	153	158	41	12
100年 4月	1022	199	9	16	0	158	153	36	15
100年 5月	983	150	10	18	1	157	174	47	11
100年 6月	867	147	8	12	1	147	171	38	7
100年 7月	912	161	14	13	0	195	172	65	19
100年 8月	892	137	8	17	0	151	166	45	10
100年 9月	782	118	6	13	1	150	167	37	11
100年 10月	903	123	6	16	1	116	159	60	10
100年 11月	816	159	10	12	0	162	198	41	2
100年 12月	603	97	8	10	0	130	182	55	10
101年	9299	1093	63	302	5	1730	1999	650	59
101年 1月	1085	164	14	83	0	90	166	36	3
101年 2月	877	144	11	62	0	148	164	45	10
101年 3月	714	131	4	26	0	143	156	43	5
101年 4月	757	92	6	26	0	116	186	50	10
101年 5月	796	100	3	19	1	184	134	61	4
101年 6月	651	58	4	6	0	100	119	42	2
101年 7月	796	86	5	9	2	160	199	58	0
101年 8月	703	62	6	21	1	150	175	63	8
101年 9月	646	73	2	15	0	147	146	61	2
101年 10月	792	66	3	11	0	134	191	60	7
101年 11月	822	53	4	11	0	216	164	68	2
101年 12月	660	64	1	13	1	142	199	63	6
102年	7793	746	88	437	1	1513	1538	590	60
102年 1月	481	41	2	31	1	146	189	66	3
102年 2月	1769	92	46	281	0	96	105	32	6
102年 3月	508	90	7	6	0	133	144	56	5
102年 4月	542	61	6	16	0	140	104	47	8
102年 5月	614	86	1	13	0	125	122	50	1
102年 6月	614	60	4	7	0	116	87	48	4
102年 7月	733	74	7	14	0	120	112	42	6
102年 8月	572	54	1	22	0	128	134	68	6
102年 9月	537	72	6	14	0	113	127	41	4
102年 10月	511	45	5	16	0	124	148	50	6
102年 11月	505	41	2	14	0	121	121	49	5
102年 12月	407	30	1	3	0	151	145	41	6
103年	7171	683	129	607	0	1354	1759	536	52
103年 1月	1163	79	37	253	0	100	143	37	5
103年 2月	989	61	39	232	0	118	109	27	3
103年 3月	436	46	4	14	0	122	161	36	2
103年 4月	476	42	2	15	0	130	192	65	7
103年 5月	508	54	3	7	0	111	151	43	4
103年 6月	440	54	4	12	0	106	118	47	2
103年 7月	526	64	5	10	0	120	126	56	3
103年 8月	586	68	10	12	0	117	154	33	7
103年 9月	572	59	8	11	0	91	167	51	7
103年 10月	605	71	13	12	0	106	164	50	4
103年 11月	496	46	2	21	0	117	133	50	4
103年 12月	374	39	2	8	0	116	141	41	4
104年	6317	648	79	539	2	1099	2167	552	42
104年 1月	227	27	1	5	0	89	211	48	3
104年 2月	1458	98	49	372	0	44	98	38	1
104年 3月	495	51	3	13	0	117	182	49	4
104年 4月	497	68	2	17	0	96	219	55	7
104年 5月	524	53	2	16	1	106	194	53	5
104年 6月	430	58	3	14	0	114	178	46	2
104年 7月	474	59	2	15	0	105	218	38	3
104年 8月	413	47	7	19	0	89	179	48	1
104年 9月	428	39	2	17	0	93	150	34	5
104年 10月	461	43	5	13	0	80	201	50	3
104年 11月	455	56	2	24	0	86	151	47	6
104年 12月	455	49	1	14	1	80	186	46	2
105年	5248	532	27	389	3	1087	2074	617	32
105年 1月	405	60	1	34	0	92	189	44	2
105年 2月	432	65	3	233	1	50	129	19	2
105年 3月	478	61	5	7	1	80	208	57	2
105年 4月	418	39	0	16	0	109	165	51	5
105年 5月	434	44	1	18	0	106	200	63	1
105年 6月	442	44	3	4	0	94	136	57	1
105年 7月	463	41	2	12	0	90	176	60	0
105年 8月	452	51	2	9	0	105	181	73	5
105年 9月	431	47	4	6	0	101	163	43	3
105年 10月	431	35	1	33	0	88	181	55	5
105年 11月	455	26	2	4	1	92	181	38	3
105年 12月	407	19	3	13	0	80	165	57	3
